trip_id,trip_property_id,value
53316335-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316335-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316342-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316342-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316401-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316401-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316430-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316430-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316488-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316488-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316499-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316499-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316500-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316500-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316509-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316509-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316523-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316523-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316526-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316526-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316539-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316539-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316541-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316541-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316552-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316552-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316624-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316624-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316626-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316626-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316630-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316630-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316631-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316631-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316635-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316635-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316674-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316674-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316728-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316728-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316775-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316775-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316804-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316804-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316877-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316877-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316910-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316910-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316973-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316973-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316984-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316984-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53317133-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53317133-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53317308-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53317308-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53357740-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357740-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357741-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357741-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357742-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357742-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357743-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357743-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357744-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357744-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357745-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357745-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357746-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357746-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357747-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357747-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357748-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357748-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357749-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357749-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357750-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357750-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357751-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357751-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357752-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357752-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357753-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357753-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357754-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357754-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357755-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357755-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357756-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357756-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357757-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357757-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53357758-BUS42022-hba42l31-Saturday-02,note,Does not run during school vacation
53357758-BUS42022-hba42l31-Saturday-02,trip_type,supplemental
53364299-BUS42022-hbc42l31-Saturday-02,note,Does not run during school vacation
53364299-BUS42022-hbc42l31-Saturday-02,trip_type,supplemental
53364300-BUS42022-hbc42l31-Saturday-02,note,Does not run during school vacation
53364300-BUS42022-hbc42l31-Saturday-02,trip_type,supplemental
